Timestamp, Temperatura, Humedad, Voltaje, Corriente
2024-05-24 23:44:59.865204,21.51,61.88,4.99,16.92
2024-05-24 23:44:59.870234,25.05,69.50,4.96,18.08
2024-05-24 23:44:59.875247,20.83,62.20,4.98,15.00
2024-05-24 23:44:59.880262,27.36,48.67,5.02,18.26
2024-05-24 23:44:59.885277,21.86,53.31,5.01,19.28
2024-05-24 23:44:59.890289,27.12,61.02,5.05,17.21
2024-05-24 23:44:59.895301,22.75,65.95,5.01,18.59
2024-05-24 23:44:59.900313,21.66,31.84,4.95,16.68
2024-05-24 23:44:59.905324,29.89,58.22,4.97,16.12
2024-05-24 23:44:59.910336,29.47,57.24,4.95,17.28
2024-05-24 23:44:59.915350,27.46,52.39,4.97,15.09
2024-05-24 23:44:59.920361,27.08,54.03,4.95,16.44
2024-05-24 23:44:59.925372,21.30,50.80,5.00,17.83
2024-05-24 23:44:59.930384,29.52,34.69,5.04,17.75
2024-05-24 23:44:59.935396,21.97,48.81,4.95,17.91
2024-05-24 23:44:59.940409,21.74,45.99,5.02,19.51
2024-05-24 23:44:59.945423,28.77,58.66,5.04,17.28
2024-05-24 23:44:59.950435,28.80,51.68,4.95,16.38
2024-05-24 23:44:59.955448,28.23,66.95,4.98,19.58
2024-05-24 23:44:59.960459,25.22,34.47,4.97,17.93
2024-05-24 23:44:59.965472,25.84,62.85,5.05,16.55
2024-05-24 23:44:59.970483,23.44,61.71,5.00,17.59
2024-05-24 23:44:59.975494,25.73,56.09,5.02,19.25
2024-05-24 23:44:59.980505,28.83,61.04,5.00,18.16
2024-05-24 23:44:59.985517,23.21,49.19,4.97,17.15
2024-05-24 23:44:59.990529,28.16,54.80,4.97,19.20
2024-05-24 23:44:59.995541,20.51,30.10,5.04,15.18
2024-05-24 23:45:00.000553,21.82,43.73,4.95,19.02
2024-05-24 23:45:00.005566,26.48,63.57,4.97,19.31
2024-05-24 23:45:00.010579,24.85,58.98,5.05,18.23
2024-05-24 23:45:00.015590,29.08,34.43,4.97,18.61
2024-05-24 23:45:00.020603,20.49,56.59,4.97,17.64
2024-05-24 23:45:00.025616,21.11,34.23,4.99,15.36
2024-05-24 23:45:00.030628,25.41,44.03,5.04,19.92
2024-05-24 23:45:00.035641,27.00,68.72,5.02,18.78
2024-05-24 23:45:00.040653,20.81,38.70,5.02,17.62
2024-05-24 23:45:00.045665,20.57,38.23,5.03,15.36
2024-05-24 23:45:00.050677,27.07,56.17,5.03,15.33
2024-05-24 23:45:00.055689,20.16,36.20,5.04,15.33
2024-05-24 23:45:00.060702,29.37,49.08,4.95,18.98
2024-05-24 23:45:00.065716,26.54,39.66,5.05,19.73
2024-05-24 23:45:00.070730,28.63,32.74,5.02,15.42
2024-05-24 23:45:00.075743,24.86,30.89,4.97,16.49
2024-05-24 23:45:00.080757,25.92,64.47,5.00,15.11
2024-05-24 23:45:00.085770,28.08,30.48,4.99,18.67
2024-05-24 23:45:00.090784,23.57,34.42,4.95,17.80
2024-05-24 23:45:00.095798,28.09,54.01,5.02,17.88
2024-05-24 23:45:00.100810,23.27,52.72,5.00,18.32
2024-05-24 23:45:00.105822,25.04,39.36,4.95,16.17
2024-05-24 23:45:00.110835,25.52,41.63,4.99,17.06
2024-05-24 23:45:00.115848,23.55,47.83,4.96,16.31
2024-05-24 23:45:00.120862,29.29,32.10,5.02,17.23
2024-05-24 23:45:00.125873,22.45,33.76,5.03,17.39
2024-05-24 23:45:00.130885,21.46,40.69,4.98,17.50
2024-05-24 23:45:00.135895,28.79,60.42,5.05,17.51
2024-05-24 23:45:00.140907,21.12,48.30,4.95,19.81
2024-05-24 23:45:00.145918,26.91,67.93,5.03,19.97
2024-05-24 23:45:00.150930,27.65,47.96,4.99,18.67
2024-05-24 23:45:00.155942,23.23,68.84,4.99,17.80
2024-05-24 23:45:00.160953,27.24,33.31,4.98,17.46
2024-05-24 23:45:00.165966,20.53,56.42,4.95,16.46
2024-05-24 23:45:00.170977,28.85,52.92,5.05,16.65
2024-05-24 23:45:00.175989,22.08,44.91,5.03,17.89
2024-05-24 23:45:00.181001,23.75,59.65,4.97,17.43
2024-05-24 23:45:00.186013,22.61,43.67,5.02,15.56
2024-05-24 23:45:00.191025,29.89,30.33,5.05,17.95
2024-05-24 23:45:00.196037,27.06,61.60,4.96,18.78
2024-05-24 23:45:00.201049,27.34,33.77,4.99,19.50
2024-05-24 23:45:00.206061,25.35,43.82,5.05,19.59
2024-05-24 23:45:00.211073,29.56,66.17,4.97,19.70
2024-05-24 23:45:00.216086,28.02,42.46,4.99,16.99
2024-05-24 23:45:00.221099,23.58,30.52,5.04,17.72
2024-05-24 23:45:00.226112,24.79,53.37,5.02,19.27
2024-05-24 23:45:00.231125,22.04,35.22,5.03,19.91
2024-05-24 23:45:00.236137,26.11,34.97,5.02,19.46
2024-05-24 23:45:00.241149,21.94,56.02,4.99,18.79
2024-05-24 23:45:00.246161,27.06,32.12,4.97,15.25
2024-05-24 23:45:00.251173,26.69,52.00,4.97,19.51
2024-05-24 23:45:00.256185,27.21,66.12,4.96,18.09
2024-05-24 23:45:00.261197,22.06,45.04,5.02,18.69
2024-05-24 23:45:00.266208,29.98,38.04,5.02,19.69
2024-05-24 23:45:00.271220,21.97,46.03,5.01,17.88
2024-05-24 23:45:00.276233,21.52,66.08,4.95,15.23
2024-05-24 23:45:00.281246,29.26,68.13,5.02,15.36
2024-05-24 23:45:00.286258,29.63,62.70,4.99,19.28
2024-05-24 23:45:00.291269,28.89,39.54,5.04,17.59
2024-05-24 23:45:00.296282,22.44,44.25,4.99,17.90
2024-05-24 23:45:00.301293,25.15,32.31,5.02,19.85
2024-05-24 23:45:00.306305,29.60,47.24,5.04,16.82
2024-05-24 23:45:00.311317,26.30,45.76,5.02,17.16
2024-05-24 23:45:00.316329,21.82,54.08,4.98,19.58
2024-05-24 23:45:00.321341,24.52,34.33,5.02,16.10
2024-05-24 23:45:00.326354,27.36,48.64,5.02,16.12
2024-05-24 23:45:00.331367,25.98,31.90,5.02,17.45
2024-05-24 23:45:00.336380,26.29,36.59,5.00,18.91
2024-05-24 23:45:00.341393,25.60,68.59,4.97,15.58
2024-05-24 23:45:00.346405,28.11,54.83,4.96,17.65
2024-05-24 23:45:00.351418,22.00,50.08,4.96,15.17
2024-05-24 23:45:00.356429,26.76,31.00,5.04,18.29
2024-05-24 23:45:00.361440,23.67,57.30,4.97,15.40
2024-05-24 23:45:00.366452,21.31,37.99,4.98,17.74
2024-05-24 23:45:00.371464,20.52,40.67,4.99,18.13
2024-05-24 23:45:00.376475,28.65,36.27,5.05,15.38
2024-05-24 23:45:00.381486,20.50,61.62,5.04,18.98
