Timestamp, Temperatura, Humedad, Voltaje, Corriente
2024-05-24 23:44:59.828904,23.01,43.95,4.97,15.25
2024-05-24 23:44:59.833936,24.87,53.42,5.00,15.04
2024-05-24 23:44:59.838951,21.80,38.95,4.98,19.08
2024-05-24 23:44:59.843965,25.20,51.34,4.95,16.73
2024-05-24 23:44:59.848978,22.58,48.44,4.98,15.72
2024-05-24 23:44:59.853991,29.81,63.44,5.00,18.86
2024-05-24 23:44:59.859005,20.45,54.00,5.01,16.66
2024-05-24 23:44:59.864018,28.01,59.81,5.03,16.16
2024-05-24 23:44:59.869031,20.43,30.68,4.98,16.66
2024-05-24 23:44:59.874044,28.42,48.33,4.97,15.50
2024-05-24 23:44:59.879056,26.30,32.71,5.00,18.23
2024-05-24 23:44:59.884068,20.99,62.37,5.02,19.96
2024-05-24 23:44:59.889138,28.17,61.20,4.98,18.57
2024-05-24 23:44:59.894153,21.36,37.30,5.00,17.93
2024-05-24 23:44:59.899167,29.07,62.04,5.01,16.51
2024-05-24 23:44:59.904179,29.79,57.22,4.96,19.98
2024-05-24 23:44:59.909191,27.60,36.25,5.01,19.63
2024-05-24 23:44:59.914204,26.49,65.44,4.97,16.75
2024-05-24 23:44:59.919216,29.95,38.30,5.04,16.35
2024-05-24 23:44:59.924229,20.43,45.03,4.99,17.04
2024-05-24 23:44:59.929242,22.74,64.89,4.98,19.44
2024-05-24 23:44:59.934255,28.67,43.50,4.97,15.90
2024-05-24 23:44:59.939269,26.23,60.32,4.96,19.88
2024-05-24 23:44:59.944280,22.82,39.68,4.99,18.99
2024-05-24 23:44:59.949292,24.67,59.79,4.98,17.23
2024-05-24 23:44:59.954305,25.55,42.47,5.02,16.71
2024-05-24 23:44:59.959319,28.49,33.72,5.05,15.08
2024-05-24 23:44:59.964331,22.16,58.66,4.98,15.20
2024-05-24 23:44:59.969343,23.54,33.92,5.01,18.83
2024-05-24 23:44:59.974354,21.43,67.65,4.98,17.43
2024-05-24 23:44:59.979364,21.14,31.40,4.97,16.66
2024-05-24 23:44:59.984375,24.13,61.24,4.99,18.77
2024-05-24 23:44:59.989386,25.31,40.76,4.97,15.93
2024-05-24 23:44:59.994397,21.06,50.19,5.02,15.26
2024-05-24 23:44:59.999409,22.92,41.92,4.98,19.46
2024-05-24 23:45:00.004420,26.37,48.44,5.05,16.69
2024-05-24 23:45:00.009432,27.24,59.97,5.02,18.09
2024-05-24 23:45:00.014442,29.99,58.69,4.98,18.77
2024-05-24 23:45:00.019453,24.53,67.64,4.98,15.27
2024-05-24 23:45:00.024465,21.28,65.49,5.01,15.21
