Timestamp, Temperatura, Humedad, Voltaje, Corriente
2024-05-24 23:44:59.765858,20.68,47.95,5.01,16.90
2024-05-24 23:45:00.765898,27.26,48.93,4.96,17.44
2024-05-24 23:45:01.765908,28.66,52.73,5.05,19.84
2024-05-24 23:45:02.765915,22.07,59.16,5.01,19.74
2024-05-24 23:45:03.765922,28.53,48.95,5.02,18.04
2024-05-24 23:45:04.765929,25.90,45.57,5.05,18.80
2024-05-24 23:45:05.765936,24.96,31.03,4.97,19.71
2024-05-24 23:45:06.765943,29.82,41.67,5.02,18.04
2024-05-24 23:45:07.765950,29.07,67.92,4.97,17.67
2024-05-24 23:45:08.765957,23.55,37.34,4.97,15.98
